City,Country,latitude,longitude,n_incidents,n_kill
Phoenix,United States,33.44826,-112.075774,14,0
Roxas,Philippines,11.586558,122.753716,5,4
Joliet,United States,41.524935,-88.084594,1,0
Barquisimeto,Venezuela,10.063506,-69.334722,8,2
Tehran,Iran,35.724533,51.40519,282,478
Galesburg,United States,40.946915,-90.364659,1,0
Newark,United States,40.73197,-74.174184,6,3
Rio de Janeiro,Brazil,-22.908278,-43.197026,81,81
Omaha,United States,41.260675,-95.940469,4,1
Manhattan Beach,United States,33.887157,-118.410843,1,0
Emeryville,United States,37.831455,-122.285164,3,0
Londonderry,United Kingdom,55.011562,-7.312045,366,149
Belfast,United Kingdom,54.607712,-5.95621,2173,1354
Whitefish Bay,United States,43.118461,-87.902289,3,0
Plainfield,United States,40.617623,-74.417061,2,2
Wauwatosa,United States,43.074701,-88.008394,1,0
Compton,United States,33.895285,-118.224329,1,1
Oneonta,United States,33.948315,-86.472939,1,0
Petaluma,United States,38.232471,-122.644448,5,0
Des Plaines,United States,42.039274,-87.859977,1,0
Manizales,Colombia,5.059097,-75.50596,13,2
New Bedford,United States,41.637675,-70.930869,2,1
Camden,United States,39.933449,-75.106743,4,0
Managua,Nicaragua,12.103822,-86.267014,198,106
Recife,Brazil,-8.048021,-34.876338,2,0
St. Louis,United States,38.62774,-90.199514,7,1
Sparta,United States,43.939135,-90.820369,4,0
Pamplona,Spain,42.815372,-1.653616,139,54
Alameda,United States,37.774422,-122.275475,2,0
Garin,Argentina,-34.422436,-58.737755,1,0
Charlotte,United States,35.2225,-80.837539,5,0
Amsterdam,Netherlands,52.370216,4.895168,39,4
Brussels,Belgium,50.836426,4.367415,113,44
San Miguel de Tucuman,Argentina,-26.808285,-65.21759,12,2
Placentia,United States,33.871124,-117.861401,2,0
San Jose,United States,37.338475,-121.885794,102,50
Dundalk,United States,39.26931,-76.503519,12,5
San Rafael,United States,37.97457,-122.532474,21,18
Santa Fe,Argentina,-31.632368,-60.699359,19,14
Crossmaglen,United Kingdom,54.077313,-6.608787,65,54
Minneapolis,United States,44.964985,-93.260193,6,0
Reisterstown,United States,39.464791,-76.829198,1,0
Burlington,United States,42.505832,-71.19376,5,0
Rocky Mount,United States,35.948199,-77.795207,1,0
Walnut Creek,United States,37.90118,-122.061628,3,0
Santa Fe Springs,United States,33.946154,-118.082952,1,0
Ankara,Turkey,39.930771,32.76754,290,363
Milpitas,United States,37.432805,-121.897259,1,0
Fremont,United States,37.548148,-121.988566,2,0
Memphis,United States,35.14968,-90.048929,2,0
Santa Ana,United States,33.745573,-117.867834,193,252
DeWitt,United States,41.82277,-90.538969,4,0
Fitchburg,United States,42.58176,-71.792259,1,0
Cordoba,Argentina,-31.399301,-64.182129,93,17
Gainesville,United States,29.647665,-82.348458,1,0
London,United Kingdom,51.504387,-0.140041,399,158
Rosario,Argentina,-32.951052,-60.666365,44,134
Toledo,United States,41.67086,-83.543846,24,9
Newburyport,United States,42.811978,-70.872638,2,0
Brighton,United States,42.350097,-71.156442,8,7
Izmir,Turkey,38.395649,27.135641,106,43
Glen Burnie,United States,39.162608,-76.624689,1,0
Quebec,Canada,46.803137,-71.241298,4,0
Bluefield,United States,37.264891,-81.240268,1,0
Santa Barbara,United States,34.419255,-119.698869,13,25
Stuttgart,West Germany (FRG),48.777106,9.180769,18,2
Saint-Lambert,Canada,46.803137,-71.241298,1,1
Irvine,United States,33.683734,-117.794609,4,0
Melbourne,Australia,-37.813187,144.96298,14,4
Stuart,United States,27.19999,-80.255359,1,0
El Toro,United States,33.62905,-117.691249,1,0
Karachi,Pakistan,24.891115,67.143311,2660,3691
Fresno,United States,36.740685,-119.785734,16,7
New Castle,United States,41.001845,-80.34724,1,1
Ann Arbor,United States,42.278044,-83.738224,6,0
Ensenada,Argentina,-34.864823,-57.908519,2,0
St. Petersburg,United States,27.771185,-82.639319,8,1
Chattanooga,United States,35.04644,-85.309464,7,7
Donostia-San Sebastian,Spain,43.291618,-1.977903,272,101
Isla Vista,United States,34.41217,-119.85704,3,7
Storrs,United States,41.807741,-72.25398,1,0
Hollywood,United States,26.011201,-80.14949,2,0
San Mateo,United States,37.54703,-122.314834,11,4
College Park,United States,33.655968,-84.448957,4,2
